ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
22,6,6,6,4,1,7,6,6,6,5,5,-99,3,4,7,7,7,7,5,5,4,5,6,10,CHI,1,2,15
23,5,4,4,5,2,5,5,5,5,5,4,5,6,6,6,5,6,7,4,5,6,5,4,-99,CHI,1,2,14
24,4,1,4,3,2,4,3,3,4,3,2,3,4,5,4,1,1,1,3,2,3,5,4,10,CHI,1,2,16
25,6,6,4,6,5,4,7,5,6,1,4,5,6,7,7,5,5,5,5,6,4,4,4,10,CHI,1,2,15
26,6,5,4,7,1,1,7,4,2,3,7,7,7,7,7,4,6,7,1,7,7,7,7,6,CHI,2,2,15
27,7,4,3,2,4,6,1,7,-99,5,3,6,7,5,7,-99,1,1,1,3,5,4,4,7,CHI,2,2,16
28,-99,1,1,-99,1,1,3,2,1,5,5,4,1,1,1,1,1,1,2,3,3,3,3,10,CHI,1,2,16
29,4,3,4,4,5,5,-99,3,2,3,3,2,5,4,5,1,1,1,3,3,3,3,2,4,CHI,1,1,15
30,6,4,4,7,1,-99,5,4,4,4,-99,3,3,2,4,1,1,1,2,2,6,2,3,0,CHI,2,1,15
31,7,7,6,5,4,6,7,7,7,6,7,7,7,7,7,2,-99,3,5,6,6,5,5,2,CHI,2,2,17
32,7,7,4,4,1,4,7,7,5,6,4,1,5,3,7,1,1,4,4,4,2,-99,4,6,CHI,1,2,15
33,7,7,7,7,1,7,6,6,5,6,6,6,3,3,7,7,6,6,7,6,-99,7,7,1,CHI,1,1,15
34,3,1,1,4,5,1,4,1,1,6,2,4,4,4,4,4,4,4,1,1,1,1,1,0,CHI,1,2,15
35,1,1,1,2,3,2,1,2,2,3,3,2,2,2,2,4,3,4,1,2,3,4,5,1,CHI,2,1,16
36,4,2,1,2,2,3,2,7,4,4,4,2,4,4,7,1,2,1,4,6,6,6,5,2,CHI,2,2,14
